"Date","Price","Open","High","Low","Change %"
"06/06/2023","94.99","94.99","94.99","94.99","-17.41%"
"06/05/2023","115.01","115.01","115.01","103.99","-2.13%"
"06/02/2023","117.51","117.51","117.51","113.50","-4.09%"
"06/01/2023","122.52","122.52","122.52","120.50","2.95%"
"05/31/2023","119.01","119.01","119.01","117.00","1.71%"
"05/30/2023","117.01","117.01","117.01","113.75","0.00%"
"05/29/2023","117.01","117.01","117.01","111.50","-3.31%"
"05/26/2023","121.02","121.02","121.02","111.50","-5.10%"
"05/25/2023","127.53","127.53","127.53","109.01","5.38%"
"05/24/2023","121.02","121.02","121.02","113.76","-36.37%"
"05/23/2023","190.18","190.18","190.18","110.51","-2.56%"
"05/22/2023","195.18","195.18","195.18","185.08","-12.89%"
"05/19/2023","224.06","224.06","224.06","187.56","11.00%"
"05/18/2023","201.86","201.86","224.82","201.86","-6.00%"
"05/17/2023","214.74","214.74","224.86","214.74","0.02%"
"05/16/2023","214.70","214.70","224.86","214.70","0.02%"
"05/15/2023","214.66","214.66","224.88","214.66","-0.02%"
"05/12/2023","214.70","224.85","224.86","214.66","0.02%"
"05/11/2023","214.66","214.66","224.85","214.66","-4.52%"
"05/10/2023","224.82","214.64","224.82","214.64","0.00%"
"05/09/2023","224.81","214.61","224.81","214.61","4.75%"
"05/08/2023","214.61","214.61","215.81","214.61","-0.55%"
"05/05/2023","215.80","217.60","217.60","215.80","1.51%"
"05/04/2023","212.60","212.60","219.76","212.60","0.00%"
"05/03/2023","212.59","212.59","213.79","212.59","2.38%"
"05/02/2023","207.64","207.64","213.80","207.64","0.02%"
"05/01/2023","207.59","207.59","208.79","207.59","-8.82%"
"04/28/2023","227.67","227.67","227.67","208.78","7.08%"
"04/27/2023","212.63","212.63","212.63","211.57","1.21%"
"04/26/2023","210.08","210.08","213.79","210.08","1.19%"
"04/25/2023","207.61","207.61","211.53","207.61","-2.35%"
"04/24/2023","212.61","212.61","212.61","210.32","-0.09%"
"04/21/2023","212.81","217.63","217.63","212.81","-0.38%"
"04/20/2023","213.63","213.63","213.81","213.63","-0.01%"
"04/19/2023","213.66","213.66","213.66","213.66","-2.94%"
"04/18/2023","220.13","220.13","220.13","220.13","-1.14%"
"04/17/2023","222.66","222.66","222.66","222.66","-2.19%"
"04/14/2023","227.65","227.65","227.65","227.65","0.01%"
"04/13/2023","227.64","227.64","227.64","227.64","-0.01%"
"04/12/2023","227.66","227.66","227.66","227.66","-4.24%"
"04/11/2023","237.74","237.74","237.74","237.74","0.03%"
"04/10/2023","237.66","237.66","237.66","237.66","0.00%"
"04/07/2023","237.66","237.66","237.66","237.66","-1.05%"
"04/06/2023","240.17","240.17","240.17","240.17","4.37%"
"04/05/2023","230.11","230.11","230.11","230.11","2.22%"
"04/04/2023","225.12","225.12","225.12","225.12","-0.03%"
"04/03/2023","225.19","225.19","225.19","225.19","-4.28%"
"03/31/2023","235.27","235.27","235.27","235.27","-2.06%"
"03/30/2023","240.22","240.22","240.22","240.22","-11.08%"
"03/29/2023","270.16","270.16","270.16","270.16","-1.80%"
"03/28/2023","275.13","275.13","275.13","275.13","17.05%"
"03/27/2023","235.04","235.04","235.04","235.04","0.04%"
"03/24/2023","234.95","234.95","234.95","234.95","-2.13%"
"03/23/2023","240.06","240.06","240.06","240.06","70.39%"
"03/22/2023","140.89","140.89","140.89","140.89","-32.23%"
"03/21/2023","207.90","207.90","207.90","207.90","-91.43%"
"03/17/2023","2,426.88","2,426.88","2,426.88","2,426.88","-13.59%"
"03/16/2023","2,808.52","2,808.52","2,808.52","2,808.52","-24.01%"
"03/15/2023","3,695.83","3,695.83","3,695.83","3,695.83","886.27%"
"03/14/2023","374.73","374.73","374.73","374.73","0.01%"
"03/13/2023","374.67","374.67","374.67","374.67","13.67%"
"03/10/2023","329.60","329.60","384.75","329.60","6.45%"
"03/09/2023","309.64","309.64","329.84","309.64","5.05%"
"03/08/2023","294.76","294.76","305.82","294.76","3.53%"
"03/07/2023","284.72","284.72","287.37","284.72","1.73%"
"03/06/2023","279.87","271.73","279.87","271.73","3.32%"
"03/03/2023","270.88","261.76","270.88","261.76","6.91%"
"03/02/2023","253.38","234.88","253.38","234.88","6.71%"
"03/01/2023","237.44","236.86","237.44","236.86","-1.45%"
"02/28/2023","240.93","247.79","247.79","240.93","-3.20%"
"02/27/2023","248.89","249.83","249.83","248.89","-0.41%"
"02/24/2023","249.91","244.81","249.91","244.81","1.01%"
"02/23/2023","247.41","259.81","259.81","247.41","-5.71%"
"02/22/2023","262.39","259.66","262.39","259.66","1.97%"
"02/21/2023","257.33","224.87","257.33","224.87","14.66%"
"02/20/2023","224.42","224.84","224.84","224.42","3.24%"
"02/17/2023","217.37","211.81","217.37","211.81","4.30%"
"02/16/2023","208.41","214.79","214.79","208.41","-0.71%"
"02/15/2023","209.89","201.85","209.89","201.85","4.46%"
"02/14/2023","200.92","204.84","204.84","200.92","-3.13%"
"02/13/2023","207.42","194.85","207.42","194.85","12.16%"
"02/10/2023","184.93","174.86","184.93","174.86","12.13%"
"02/09/2023","164.93","184.94","184.94","164.93","-8.35%"
"02/08/2023","179.96","204.92","204.92","179.96","-6.49%"
"02/07/2023","192.46","222.88","222.88","192.46","-12.50%"
"02/06/2023","219.95","229.91","229.91","219.95","0.00%"
"02/03/2023","219.95","214.91","219.95","214.91","7.32%"
"02/02/2023","204.94","219.91","219.91","204.94","-4.66%"
"02/01/2023","214.96","224.91","224.91","214.96","-1.15%"
"01/31/2023","217.45","224.90","224.90","217.45","1.16%"
"01/30/2023","214.96","209.91","214.96","209.91","6.18%"
"01/27/2023","202.45","214.93","214.93","202.45","-4.72%"
"01/26/2023","212.47","249.86","249.86","212.47","-9.56%"
"01/25/2023","234.92","254.84","254.84","234.92","-2.08%"
"01/24/2023","239.91","259.83","259.83","239.91","-10.29%"
"01/23/2023","267.42","287.89","287.89","267.42","-4.99%"
"01/20/2023","281.46","284.90","284.90","281.46","1.43%"
"01/19/2023","277.48","257.97","277.48","257.97","8.20%"
"01/18/2023","256.45","315.97","315.97","256.45","-18.71%"
"01/17/2023","315.47","315.02","315.47","315.02","-0.64%"
"01/16/2023","317.51","310.07","317.51","310.07","-0.01%"
"01/13/2023","317.53","334.98","334.98","317.53","-4.49%"
"01/12/2023","332.47","349.87","349.87","332.47","-5.66%"
"01/11/2023","352.42","432.33","432.33","352.42","-19.20%"
"01/10/2023","436.18","432.33","436.18","432.33","-1.69%"
"01/09/2023","443.66","475.18","475.18","443.66","-7.59%"
"01/06/2023","480.09","480.22","480.22","480.09","-1.05%"
"01/05/2023","485.16","495.37","495.37","485.16","0.52%"
"01/04/2023","482.65","500.39","500.39","482.65","-3.98%"
"01/03/2023","502.67","501.13","502.67","501.13","-0.57%"
"01/02/2023","505.53","501.14","505.53","501.14","-0.02%"
"12/30/2022","505.61","501.14","505.61","501.14","0.00%"
"12/29/2022","505.59","505.20","505.59","505.20","-0.87%"
"12/28/2022","510.04","512.69","512.69","510.04","-1.22%"
"12/27/2022","516.35","512.72","516.35","512.72","0.01%"
"12/26/2022","516.30","512.61","516.30","512.61","-0.02%"
"12/23/2022","516.39","520.70","520.70","516.39","-0.77%"
"12/22/2022","520.40","516.77","520.40","516.77","0.39%"
"12/21/2022","518.40","530.48","530.48","518.40","-1.31%"
"12/20/2022","525.30","530.58","530.58","525.30","0.00%"
"12/19/2022","525.29","535.40","535.40","525.29","-1.41%"
"12/16/2022","532.80","531.03","532.80","531.03","1.39%"
"12/15/2022","525.51","515.83","525.51","515.83","0.50%"
